student_id,avg_attempts,eoc_crct/poss,eoc_crct/atmp,n_possible,n_correct,n_attempt,n_na,avg_cost,avg_expectance,avg_intrinsic,avg_utility
45a6b32e-d1d3-415b-8c8b-1fa5edb165f0,1.3,0.386,0.297,70,27,91,0,2.58,4.75,5,4.83
5809f204-48e7-4dff-bc92-d22986d01459,1.62,0.735,0.455,68,50,110,1,3.83,4.33,4.67,4.27
91f060a9-d6cc-48e2-8ad9-362ab1b25fe2,1.17,0.406,0.347,64,26,75,0,3.83,4.58,4.83,4.92
a25014c3-2a12-45ea-965e-4f52fb568c49,1.23,0.712,0.58,66,47,81,1,2,5,5,5
ba499004-ccbf-42ce-92e9-3c8c38f088d8,1.11,0.607,0.544,61,37,68,0,4.25,2.5,3.25,3.33
c0cb2f98-4801-4f44-ae5a-437023b36c9b,1.16,0.429,0.37,63,27,73,0,4.58,4.58,4.58,4.5
cc79d3fc-ccc0-48a2-8621-76b70b37ca0f,1.11,0.246,0.221,61,15,68,4,3,4.09,3.91,4.09
d76083a0-6c0d-446c-82e3-723a6d27c098,1.23,0.606,0.494,66,40,81,1,3.92,4.75,4.73,4.75
f1df3150-ad4c-480e-b3ef-e3494116401d,1.32,0.527,0.398,74,39,98,0,3.92,5,4.42,5
9dd7096f-7041-4a6d-89d8-622012859d20,1.22,0.523,0.43,65,34,79,1,3.75,2.67,5,4.83
a52c1e17-97fa-4339-a21e-721945894c90,1.17,0.46,0.392,63,29,74,9,4.5,4.8,4.78,4.9
af94a4c0-39b3-45ab-89cf-c7f246155b3a,1.12,0.51,0.455,49,25,55,16,3.13,3,3.38,4.25
20b07e14-d5b9-4dbb-99db-e0b784b045f6,1.15,0.7,0.609,60,42,69,12,2.44,5,5.33,5
4bba8ed7-c2ef-4c14-bf3e-002ecb658f38,1.69,0.586,0.347,70,41,118,17,3.38,4.5,3.29,3.5
60aab6bd-97db-4d4d-8f7a-a4cc89d2cd1d,3.06,0.212,0.069,113,24,346,28,3,3,3,3
ab0256e9-ad95-4928-b360-fd1df4b0d579,1.25,0.516,0.413,64,33,80,9,4.3,3.7,4.33,3.4
b05d01ec-ab23-4133-aa6a-6420f8333270,1.24,0.825,0.667,63,52,78,8,3.8,3.6,3.8,3.8
cd045db2-56f9-4c52-9ae4-7d856c89396c,1.68,0.653,0.388,98,64,165,13,3,4.56,5,4.33
d4384d3a-b8d8-4ae5-a8ec-fb28841a86bd,1.32,0.493,0.374,69,34,91,8,3.2,3.9,5.2,4.5
e4d569b9-a923-411d-94b4-50aa8bcbfd66,1.28,0.769,0.602,65,50,83,8,3.5,5.6,5.2,5.2
b9e12a33-e1e1-4561-bc71-d94c1716c5ce,1.15,0.855,0.746,62,53,71,1,2,5.91,5.08,5
073c1155-c6f1-451a-b22d-3508d041dce3,1.54,0.549,0.357,91,50,140,32,3,4.25,4.25,4
46b4a4d0-5c47-4da7-a002-e7767af0455f,1.49,0.667,0.446,87,58,130,21,3.14,4.86,5.17,5
97a884d8-9c0b-446d-922a-812553ccb4fd,1.15,0.597,0.521,62,37,71,6,3.7,3.75,3.9,3.7
eaabf304-6cd7-458d-8285-bdf06cb8ebd5,1.39,0.866,0.623,82,71,114,20,3.43,2.57,4.71,4.14
7f5ea72c-8cd1-4596-8d57-967fe6f343d0,1.21,0.762,0.632,63,48,76,20,2,5,5,5
6f7260a7-2017-4cbb-8dd8-f4b9528ac4ab,1.4,0.866,0.617,82,71,115,18,2,4.88,5,4.88
7851da22-a99d-4c3c-ad60-396aadd2cea3,1.62,0.937,0.578,111,104,180,36,3.67,4.67,4,4.67
42b2f919-79ef-4788-9e5d-3120bf01cc6a,1.13,0.967,0.855,61,59,69,33,1.75,4.5,4,4.5
600f8379-2f63-4f44-8eb6-1762583d34ad,2.16,0.613,0.283,80,49,173,29,3,3.8,4.25,4.8
e41950b0-6808-49bb-8f0c-70501cea596f,1.26,0.435,0.346,62,27,78,28,1,2,3,2.4
cea540a5-cde8-4749-956a-888e4335efba,1.84,0.494,0.268,77,38,142,41,2,1,1,1
fef083e8-7167-4f42-82d5-d2e893aa408a,2.55,0.364,0.143,44,16,112,32,3.75,4.25,4.25,4.25
16dca71c-ff76-438e-bb51-087bd9db6431,1.16,0.524,0.452,63,33,73,16,2.25,5.25,5.13,5
493c9abb-7022-486b-96bd-3402bb788394,1.12,0.283,0.254,60,17,67,17,4.13,1.63,2.43,1.75
4b154566-270f-4238-b45f-7bc4f72f4bfb,1.35,0.31,0.229,71,22,96,16,1.88,4.13,3.75,3.5
532c9ef0-9898-4e52-a46e-b4ead7493fb1,1.18,0.532,0.452,62,33,73,16,3.5,3.5,4.25,3.88
6088ffb1-1de1-41a8-bb04-65eb28535a37,1.12,0.417,0.373,60,25,67,16,2.75,4.75,5,4.75
8c595db3-2b8b-4142-ab8b-1de2cccc6864,1.16,0.556,0.479,63,35,73,13,3.22,3.22,3.75,3.33
8ed7a469-5018-4597-afc8-df9e21d0985b,1.42,0.526,0.37,76,40,108,13,2.33,3.78,5.13,5.11
8ed91492-ef53-4acf-9544-4b1756265d36,1.51,0.486,0.321,74,36,112,13,2,5.44,5.56,5.75
a62851d0-7cfd-4fcd-8353-5f2931be7ddc,1.12,0.492,0.439,59,29,66,16,2.13,3.75,5,5
54c037ee-abce-45bc-9647-992dd322e294,1.72,0.784,0.455,97,76,167,36,1.67,5.67,5.67,5.67
2eac3fe9-ff5f-405a-90ed-a3b959949151,2.37,0.675,0.285,114,77,270,16,2.75,4.38,5,4.5
4ae2aa76-96e6-412c-8451-a47be62423ed,1.5,0.292,0.194,24,7,36,40,1.5,2,4.5,3.5
ab14b5aa-cc33-4883-b442-87b047dd8370,2.02,0.482,0.239,114,55,230,20,5,4.71,5,4.86
2fbe606b-83d5-4b7d-aa0b-1eed516b4f41,1.66,0.691,0.416,97,67,161,20,1.71,4,3.86,2.86
311b0c23-af82-48ac-8ed9-607b9ca34ccf,2.28,0.737,0.323,57,42,130,28,3.4,3.8,4.6,5.2
84b602c6-252b-44e7-964d-1cbe06e5ea85,1.18,0.185,0.156,65,12,77,1,2,3.08,3.36,3.17
9ec4564b-0c65-451f-b7e1-c1995510807a,1.69,0.488,0.289,80,39,135,44,3,2,3,4
ac13b578-75c4-41fe-9df7-31b1d89398fb,1.36,0.429,0.316,70,30,95,12,3.56,3.78,3.78,3.89
ee835340-8bb4-4079-a56a-a60daceb092b,1.57,0.753,0.479,77,58,121,24,3.5,3,3.67,2.5
1a74701d-a0cb-45ba-ac79-fb70eaba9676,1.79,0.32,0.179,103,33,184,32,3,2.75,3,2.75
2a9bddd2-b04a-4fe4-853b-49f7c39f9fec,1.8,0.1,0.056,10,1,18,44,2,3,3,3
5b045e3a-51ac-461d-9a20-a6c391e8170a,1.43,0.364,0.255,77,28,110,29,4,2.8,3.2,3
cf88c477-17c9-42dd-ab02-da163b898a26,1.53,0.531,0.347,96,51,147,16,3.5,2.63,2.75,2.63
1974e2b6-9ea4-4716-9cd9-3f6a5649db46,2.25,0.429,0.191,105,45,236,29,3.8,3,4,3.6
611c21d6-ef3e-4b70-85ab-56cd98e4eec8,1.67,0.481,0.289,54,26,90,45,3,4,4,4
b9b1abc2-8934-4468-af82-68fc14534784,2.35,0.605,0.257,43,26,101,28,2.8,4,4.6,4.4
eb12b64f-1819-4e11-9edf-dcf6e8d799bb,1.65,0.609,0.368,92,56,152,16,2.25,4.25,5.25,4.88
f4f342ae-9eba-46dd-b6e8-909f27a26c47,1.62,0.637,0.395,91,58,147,19,3.71,3.75,4.57,5
4b88ca57-6b97-493a-8ecb-fc076e270e06,1.85,0.678,0.366,87,59,161,44,1,6,6,6
74863d5d-b75d-497c-bdf3-45335d31a48c,1.15,0.226,0.197,62,14,71,14,3.33,3.67,3.86,3.89
b1eb6772-de59-4d15-a2b6-520b1f010f82,1.61,0.532,0.331,79,42,127,32,3.25,4.75,4,4.5
b9bbb654-809f-42f7-8b81-6380a37a4187,1.22,0.641,0.526,64,41,78,12,1.67,4.56,5.78,5.11
d6c9d83e-806a-4c9f-85d0-4da715ed9745,4.04,0.345,0.086,84,29,339,40,2,3.5,4,5
81f6dd31-1427-4bf4-abaa-09f2ea49dd04,1.33,0.424,0.318,33,14,44,28,2.4,4,4,4
1ef3d36d-6223-42e5-8803-870043bec1ce,3.31,0.284,0.086,155,44,513,30,3.2,3.2,3.6,3.67
a5c73088-e717-4d78-a2e9-fc3b807e34d0,1.13,0.565,0.5,23,13,26,12,3.11,3.67,3.56,3.89
94b84ed4-61ad-4364-b98a-926383362fb2,1.36,0.298,0.22,104,31,141,32,3.75,4.25,4,4.25
a008d6ca-8b0f-4e9e-8bf6-42ed8aa7b4c4,1.41,0.444,0.315,90,40,127,28,1.4,5,5,5
e041e291-7d04-4b48-8b10-7f0044e1ada9,1.41,0.667,0.472,90,60,127,28,3.6,3.4,4.2,4
03fefe56-a52f-49fe-9cd8-b183e9badc58,1.29,0.574,0.443,68,39,88,4,5.82,3.91,4.55,4.64
29d93eff-7448-4107-a203-08cd3471f2fe,1.15,0.629,0.549,62,39,71,5,3.09,4.55,5,5.09
d8facca8-80ae-4df5-a79b-e9aee47f24b1,1.65,0.514,0.311,72,37,119,0,3.67,3.92,3.75,4.08
e1a48fbb-01ec-408a-8135-680b21c9f0bf,1.45,0.522,0.36,69,36,100,106,2.45,5.91,6,6
41a076f2-1b8f-4eec-ada6-52cffac899a4,1.3,0.478,0.368,67,32,87,5,2.18,4.82,5,5
47ab04a0-a6e5-45c2-9cb6-65acb2450133,1.13,0.754,0.667,61,46,69,8,3.8,4,5,5.1
8dd9579c-6c7f-41c0-90b6-9ff88bf7d2b4,2.06,0.688,0.333,32,22,66,44,2,6,6,6
97a00d67-74fc-43ed-a057-c045d2901959,1.15,0.59,0.514,61,36,70,4,3.55,4.09,3.82,3.91
137af3b3-0ba0-427b-b43f-8ba34b5de5f6,6.07,0.443,0.073,149,66,904,24,3.67,3.5,3.83,4.67
d2421267-c56f-4494-bf03-5833a0109ae0,1.58,0.548,0.348,73,40,115,24,3.33,4.33,4.33,4
d6d625b4-dbb8-4372-9be5-84b30cd1f7a7,1.4,0.353,0.252,85,30,119,24,3,3,3.5,4
cb38cb27-cb3b-4268-9e6e-8dc9860f0b91,5.61,0.394,0.07,33,13,185,32,3.5,3.25,4,3.25
0d6a321b-90fe-4ff3-9a3d-95b56745e231,1.13,0.475,0.42,61,29,69,0,2.75,3.67,4,4.25
4eb7690e-2297-41b3-a95c-cdd157954642,1.7,0.673,0.395,98,66,167,28,4.2,2.4,2.4,2.2
650ff28e-290f-4a0c-a032-447dd693119f,1.59,0.436,0.274,78,34,124,3,1.75,5.25,5.78,4.58
8300403a-4e77-4300-9a20-ced3926b687c,1.15,0.726,0.634,62,45,71,0,5.75,2.92,3.17,5.25
13c49279-9c80-41e2-b6a2-1513aab66300,1.25,0.612,0.488,67,41,84,8,3.1,5,5.4,4.8
199306d2-0bfb-4531-bc01-63c7be0ee9b5,1.76,0.378,0.215,82,31,144,9,2,3.6,4.22,4.4
a34d83d8-f5e8-41e3-a0d8-9b1f81b6b263,1.79,0.373,0.209,75,28,134,8,1.4,4.9,5.7,5.6
215a6005-bb4b-4f11-83e4-74aa016104ac,1.21,0.808,0.67,78,63,94,20,3.29,4.43,4.57,4.57
40e0f794-7c7e-4380-b0b0-1a2803187c9c,1.36,0.729,0.537,70,51,95,6,2,5,5,5
40f3353b-00c7-4667-a12d-7361194681a1,1.36,0.9,0.661,80,72,109,32,3.75,4,6,5.25
51bc423f-c83c-4a50-a7e7-49fa74b14e35,1.19,0.508,0.427,63,32,75,0,3,4,4,4.08
9981ed63-9aec-4ffe-aa48-f2c79009a2ef,1.31,0.471,0.359,70,33,92,4,3.27,4.18,4.45,4.36
a51af53e-6e4c-4651-832d-e7349e808a6d,1.15,0.783,0.681,60,47,69,12,4.56,3.56,4.44,4.56
ab915c05-cd34-40bf-b4fd-321ac00304ec,1.15,0.71,0.62,62,44,71,0,3.92,3.75,4.92,5
dbff0a68-c044-4054-b5bb-8f84e10f57e8,1.18,0.758,0.644,62,47,73,8,1.4,5.7,5.9,5.9
162b7c19-331e-4281-a521-5e6c5f8baae5,1.33,0.88,0.664,83,73,110,24,2.33,5.17,2.67,3.5
